"RIM","Migration Type","REGIONTYPE","Region Type","ASGS_2011_STATE_GCCSA_SA4_SA3_SA2","Region","FREQUENCY","Frequency","TIME_FY","Time","Value","Flag Codes","Flags"
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2008","2007-08",44,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2009","2008-09",121,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2010","2009-10",78,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2011","2010-11",78,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2012","2011-12",-31,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2013","2012-13",52,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2014","2013-14",25,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2015","2014-15",-35,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2007","2006-07",-77,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2008","2007-08",205,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2009","2008-09",295,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2010","2009-10",248,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2011","2010-11",163,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2012","2011-12",173,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2013","2012-13",82,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2014","2013-14",123,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2015","2014-15",107,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2007","2006-07",-61,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2008","2007-08",-45,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2009","2008-09",-40,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2010","2009-10",-21,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2011","2010-11",-39,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2012","2011-12",-48,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2013","2012-13",-23,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2014","2013-14",-45,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2015","2014-15",-69,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2007","2006-07",167,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2008","2007-08",65,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2009","2008-09",102,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2010","2009-10",148,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2011","2010-11",97,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2012","2011-12",91,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2013","2012-13",119,,
