"","Region","TIME_FY","Time","Value","dist_from_syd"
"447","Glenwood",2012,"2011-12",21,NA
"448","Glenwood",2013,"2012-13",61,NA
"449","Glenwood",2014,"2013-14",44,NA
"450","Glenwood",2015,"2014-15",-26,NA
"451","Parklea - Kellyville Ridge",2007,"2006-07",1226,NA
"452","Parklea - Kellyville Ridge",2008,"2007-08",994,NA
"453","Parklea - Kellyville Ridge",2009,"2008-09",1211,NA
"454","Parklea - Kellyville Ridge",2010,"2009-10",1719,NA
"455","Parklea - Kellyville Ridge",2011,"2010-11",1512,NA
"456","Parklea - Kellyville Ridge",2012,"2011-12",1704,NA
"457","Parklea - Kellyville Ridge",2013,"2012-13",2288,NA
"458","Parklea - Kellyville Ridge",2014,"2013-14",1897,NA
"459","Parklea - Kellyville Ridge",2015,"2014-15",1276,NA
"460","Quakers Hill - Acacia Gardens",2007,"2006-07",-111,NA
"461","Quakers Hill - Acacia Gardens",2008,"2007-08",-234,NA
"462","Quakers Hill - Acacia Gardens",2009,"2008-09",-235,NA
"463","Quakers Hill - Acacia Gardens",2010,"2009-10",-138,NA
"464","Quakers Hill - Acacia Gardens",2011,"2010-11",-526,NA
